series,model,MAE,MSE,RMSE,MAPE,MASE
Phoenix Bi-peds,LSTM,8874.7265625,84164877.87021892,9174.14180565239,14.995626409425522,0.15185695850033643
Phoenix Bi-peds,Naive,15443.333333333334,405798216.6666667,20144.433887966836,20.935839468074747,1.0
Pittsburgh Mountain Machines,AutoARIMA,29863.50877192983,893401511.7266854,29889.822878810864,2.0500116959064684e+16,0.6643842449260408
Pittsburgh Mountain Machines,LSTM,34262.252604166664,1178811298.971049,34333.82150258035,2.195990885416713e+16,0.7622446846326671
Pittsburgh Mountain Machines,Naive,886.6666666666666,2358533.3333333335,1535.7517160444045,33.33333333333208,1.0
Portland Bi-peds,AutoARIMA,27881.111111111113,831120538.888889,28829.16125885193,1.1226111111111988e+16,0.5583016469383268
Portland Bi-peds,LSTM,22444.746744791668,665063648.1223049,25788.82797108672,6955467447916898.0,0.4494418828142412
Portland Bi-peds,Naive,17071.666666666668,832687908.3333334,28856.332205138846,416666666666699.25,1.0
Providence Bi-peds,AutoARIMA,24720.40935672515,628928865.5432441,25078.454209604788,1.8470818713450308e+16,0.6032410525551472
Providence Bi-peds,LSTM,22253.721354166668,519192322.0251134,22785.79210879256,1.5152272135416682e+16,0.5430475725234857
Providence Bi-peds,Naive,15485.0,719355675.0,26820.806755204067,33.33333333333326,1.0
San Antonio Bike Shop,AutoARIMA,15617.397660818713,321036393.99045855,17917.488495613958,6271461988304119.0,0.8678947159109186
San Antonio Bike Shop,LSTM,11279.733744303385,290639978.547481,17048.16642772709,1525474466959661.5,0.6268407532532398
San Antonio Bike Shop,Naive,12481.666666666666,467376008.3333333,21618.880829805537,33.33333333333324,1.0
San Francisco Cruisers,AutoARIMA,24078.421052631584,619672582.6100341,24893.223628329742,1.9030058479532204e+16,0.5279688272019085
San Francisco Cruisers,LSTM,15437.491536458334,312718618.8767713,17683.851924192626,1.3616628255208346e+16,0.3384987032009937
San Francisco Cruisers,Naive,4466.666666666667,59853333.333333336,7736.493607140986,33.33333333333309,1.0
Seattle Race Equipment,AutoARIMA,5699.035087719299,33481727.677747007,5786.339747867127,4271403508771944.0,0.5680741175459345
Seattle Race Equipment,LSTM,5291.075602213542,29134988.175324697,5397.683593480142,3053443847656270.5,0.5274091240591299
Seattle Race Equipment,Naive,7126.666666666667,76184066.66666667,8728.348450117392,7126666666666667.0,1.0
Tampa 29ers,AutoARIMA,16329.678362573099,360602443.03631884,18989.5350926851,5300321637426930.0,0.6541184217474457
Tampa 29ers,LSTM,22291.22849527995,777990809.2973148,27892.486610148524,269193745931060.4,0.892920416336151
Tampa 29ers,Naive,22680.0,842163000.0,29020.044796657363,1.4770000000000038e+16,1.0
Wichita Speed,AutoARIMA,77721.08187134504,9141794543.867346,95612.73212217788,2.5562163742690084e+16,1.2229127822324932
Wichita Speed,LSTM,72187.10807291667,10431937334.166609,102136.85590503855,1.406312695312503e+16,1.1358377295995359
Wichita Speed,Naive,129880.0,25303221600.0,159069.86389633958,1.2988e+17,1.0
